#,Contexto / Foto,Opción A: Poética / Romántica
1,Cueva del Tecolote,Encontramos el spot perfecto... lástima que tus ojos me distrajeron de la vista.
2,Cabañas 14 Feb,La paz que solo encuentro a tu lado.
3,Cena Aniversario,365 días (2 años) y todavía no me aburro de tu cara.
4,Gomi Fest,"Celebrando a la cumpleañera más guapa del condado. El pastel es secundario, tú eres el verdadero regalo."""
5,Los Dinamos,"El aire falta aquí arriba, pero tú me robas el aliento."
6,Cena Italiana,"La pasta estaba al dente, pero tú estás al punto de perfección."
7,Fiesta Elegante,"Había mil luces esa noche, pero ninguna brillaba tanto como nosotros dos juntos."
8,Photoshoot Modelo,POV: Sales con la mujer más bonita del planeta.
9,Esperando restaurante,Incluso esperando mesa te ves DIVINA. ¿Cómo le haces para que hasta el aburrimiento te quede bien?
10,Being the weirdest,"Si somos raros, que sea juntos."
11,Contacto físico,El contacto físico no es negociable. Consideralo mi suscripción premium a la felicidad.
12,Texas Roadhouse,"The steak was great, but you were definitely the best thing on the menu that night."
13,Sonrisa Highlight,Tu sonrisa ilumina hasta mi noche más oscura.
14,Sept 2025 (100km),Gracias por seguirme el ritmo a cualquier plan.
15,Réplica de la Luna,Le pedí la luna y ella decidió venir conmigo.
16,Foodies (Camarones),Amor es dejarte el último camarón.
17,Boda (Vestido rosa),Te veías tan hermosa esa noche que casi interrumpo la boda para pedirte que la nuestra fuera la siguiente.
18,Foto juntos boda,El mejor equipo de todas las fiestas.
19,Spidercouple,My spidey-sense is tingling... and it's definitely because of how good you look in that suit.
20,Traje Spiderman,No necesito superpoderes si te tengo a ti.
21,Fiesta Vaquera,El cowboy más suertudo del viejo oeste.
22,Dune Cosplay,I’d cross the desert of Arrakis just to find water for you. My desert power is just loving you.
23,Weirdest 2.0,Un nivel de locura que solo yo entiendo.
24,Tenis Spiderman,¿Spider-man jugando tenis? Solo contigo.
25,Cena mi cumple,El mejor regalo fue tenerte conmigo.
26,Aeropuerto Panamá,Contigo las escalas no pesan.
27,Camino a Colombia,Próxima parada: Más recuerdos juntos.
28,Islas del Rosario,"Vine por el oceanario, pero el pececito más lindo del agua eres tú."
29,Muelle Cartagena,Ni todo el oro de Cartagena vale lo que tú.
30,Restaurante Medellín,La belleza más grande que pisó ese lugar.
31,Mirror Selfie Comuna 13,Reflejos de un viaje inolvidable.
32,Canchas Maluma,11 AM y todavía no desayunabamos 
33,Medellín es una Chimba,"Qué chimba es estar contigo, parcera."
34,Pachamama,¿Quién es esa señora? 
35,Comuna 13 Escalas,"Cansados pero felices, como siempre."
36,Bocagrande,El skyline de Cartagena no te llega ni a los talones.
37,Vista (Tus ojos),¿Había una vista atrás? No me di cuenta.
38,Selfie 14 Feb 2025,Un San Valentín que se queda en el alma.
39,Running 21 km,"Corriste 21km sin entrenar solo por amor. Eso es un 10/10 en lealtad y un 0/10 en instinto de supervivencia. Te amo, loca."
40,Padel,"No sé quién ganó el set, pero en el ranking de 'pareja con más flow' somos el #1."""
41,Viñedos,Entre uvas y besos.
42,Foto al postre,¿Mi pasión? Tomarle fotos a mi postre. ¿Mi obsesión? La persona que se lo está comiendo.
43,Playa Papaya,Se busca náufrago para quedarse atrapado en esta isla (requisito: que se parezca a ti).
44,Shot Comuna 13,"Un shot por Medellín, dos por nosotros y tres porque... bueno, tenemos sombrero"
45,Bad Bunny Concert,Quisiera que el tiempo se detenga cuando te miro.
